"begdate","enddate","pressconf","scheduled","document","url"
1936-03-18,1936-03-18,0,1,"Historical Minutes (400 KB PDF)","/monetarypolicy/files/FOMChistmin19360318.pdf"
1936-03-19,1936-03-19,0,1,"Record of Policy Actions (271 KB PDF)","/monetarypolicy/files/fomcropa19360319.pdf"
1936-05-25,1936-05-25,0,1,"Record of Policy Actions (143 KB PDF)","/monetarypolicy/files/fomcropa19360525.pdf"
1936-11-19,1936-11-19,0,1,"Historical Minutes (176 KB PDF)","/monetarypolicy/files/FOMChistmin19361119.pdf"
1936-11-20,1936-11-20,0,1,"Record of Policy Actions (198 KB PDF)","/monetarypolicy/files/fomcropa19361120.pdf"
1937-01-26,1937-01-26,0,1,"Record of Policy Actions (272 KB PDF)","/monetarypolicy/files/fomcropa19370126.pdf"
1937-03-15,1937-03-15,0,1,"Record of Policy Actions (301 KB PDF)","/monetarypolicy/files/fomcropa19370315.pdf"
1937-04-03,1937-04-04,0,1,"Record of Policy Actions (284 KB PDF)","/monetarypolicy/files/fomcropa19370404.pdf"
1937-05-04,1937-05-05,0,1,"Record of Policy Actions (145 KB PDF)","/monetarypolicy/files/fomcropa19370505.pdf"
1937-06-09,1937-06-09,0,1,"Record of Policy Actions (145 KB PDF)","/monetarypolicy/files/fomcropa19370609.pdf"
1937-09-11,1937-09-12,0,1,"Record of Policy Actions (282 KB PDF)","/monetarypolicy/files/fomcropa19370912.pdf"
1937-11-29,1937-12-01,0,1,"Record of Policy Actions (218 KB PDF)","/monetarypolicy/files/fomcropa19371201.pdf"
1938-02-28,1938-03-01,0,1,"Record of Policy Actions (147 KB PDF)","/monetarypolicy/files/fomcropa19380301.pdf"
1938-04-21,1938-04-22,0,1,"Record of Policy Actions (283 KB PDF)","/monetarypolicy/files/fomcropa19380422.pdf"
1938-04-29,1938-04-29,0,1,"Record of Policy Actions (297 KB PDF)","/monetarypolicy/files/fomcropa19380429.pdf"
1938-08-02,1938-08-02,0,1,"Record of Policy Actions (162 KB PDF)","/monetarypolicy/files/fomcropa19380802.pdf"
1938-09-21,1938-09-21,0,1,"Record of Policy Actions (309 KB PDF)","/monetarypolicy/files/fomcropa19380921.pdf"
1938-12-30,1938-12-30,0,1,"Record of Policy Actions (224 KB PDF)","/monetarypolicy/files/fomcropa19381230.pdf"
1939-03-06,1939-03-07,0,1,"Record of Policy Actions (243 KB PDF)","/monetarypolicy/files/fomcropa19390307.pdf"
1939-03-20,1939-03-20,0,1,"Record of Policy Actions (145 KB PDF)","/monetarypolicy/files/fomcropa19390320.pdf"
1939-04-19,1939-04-19,0,1,"Record of Policy Actions (279 KB PDF)","/monetarypolicy/files/fomcropa19390419.pdf"
1939-06-20,1939-06-21,0,1,"Record of Policy Actions (282 KB PDF)","/monetarypolicy/files/fomcropa19390621.pdf"
1939-09-18,1939-09-18,0,1,"Record of Policy Actions (212 KB PDF)","/monetarypolicy/files/fomcropa19390918.pdf"
1939-12-13,1939-12-13,0,1,"Record of Policy Actions (78 KB PDF)","/monetarypolicy/files/fomcropa19391213.pdf"
