,date,text
0,19940204,"Release Date: February 4, 1994
 For immediate releaseChairman Alan Greenspan announced today that the Federal Open Market Committee decided toincrease slightly the degree of pressure on reserve positions. The action is expected to be associatedwith a small increase in short-term money market interest rates.
The decision was taken to move toward a less accommodative stance in monetary policy in order tosustain and enhance the economic expansion.Chairman Greenspan decided to announce this action immediately so as to avoid anymisunderstanding of the Committee's purposes, given the fact that this is the first firming of reservemarket conditions by the Committee since early 1989.Home | Press releases
Accessibility
 | Contact UsLast update: April 20, 2007
"
1,19940322,"Release Date: March 22, 1994
 For immediate releaseChairman Alan Greenspan announced today that the Federal Open Market Committee decided toincrease slightly the degree of pressure on reserve positions. This action is expected to be associatedwith a small increase in short-term money market interest rates.
Home | Press releases
Accessibility
 | Contact UsLast update: April 20, 2007
"
2,19940418,"Release Date: April 18, 1994
 For immediate releaseChairman Alan Greenspan announced today that the Federal Reserve will increase slightly thedegree of pressure on reserve positions. This action is expected to be associated with a small increase
in short-term money market interest rates.Home | Press releases
Accessibility
 | Contact UsLast update: April 20, 2007
"
3,19940517,"Release Date: May 17, 1994 For immediate releaseThe Federal Reserve today announced two actions designed to maintain favorable trends in inflationand thereby sustain the economic expansion.The Board approved an increase in the discount rate from 3 percent to 3-1/2 percent, effective
immediately, and the Federal Open Market Committee 
agreed that this increase should be allowed toshow through completely into interest rates in reserve markets.These actions, combined with the three adjustments initiated earlier this year by the FOMC,
substantially remove the degree of monetary accommodation which prevailed throughout 1993. Asalways, the Federal Reserve will continue to monitor economic and financial developments to judgethe appropriate stance of monetary policy.
In taking the discount action, the Board approved requests submitted by the Boards of Directors ofeleven Federal Reserve Banks -- Boston, New Yor
k, Philadelphia, Richmond, Atlanta, Chicago, St.Louis, Minneapolis, Kansas City, Dallas and San Fran
cisco. The discount rate is the interest rate thatis charged depository institutions when they bo
rrow from their district Federal Reserve Bank.
Home | Press releases
Accessibility
 | Contact UsLast update: April 20, 2007
"
4,19940816,"Release Date: August 16, 1994
 For immediate releaseThe Federal Reserve announced today the following monetary policy actions:The Board of Governors approved an increase in the discount rate from 3 1/2 percent to 4percent, effective immediately.
The Federal Open Market Committee agreed th
at this increase would be allowed to showthrough completely into interest rates in reserve markets.These measures were taken against the background of evidence of continuing strength in theeconomic expansion and high levels of resource utilization. The actions are intended to keepinflationary pressures contained, and thereby foster sustainable economic growth.The Federal Reserve will continue to monitor economic and financial developments to gauge theappropriate stance of policy. But th
ese actions are expected to be sufficient, at least for a time, to
meet the objective of sustained, noninflationary growth.In taking the discount rate action, the Board approved requests submitted by the Boards of Directorsof the Federal Reserve Banks of Boston, New York, Richmond, Kansas City, and Dallas. The
discount rate is the interest rate that is charge
d depository institutions when they borrow from theirdistrict Federal Reserve Banks.Home | Press releases
Accessibility
 | Contact UsLast update: April 20, 2007
"
5,19941115,"Release Date: November 15, 1994 For immediate releaseThe Federal Reserve Board today approved an increase in the discount rate from 4 percent to 4 3/4percent, effective immediately.
In a related move, the Federal Open Market Committee decided that the increase in the discount rateshould be reflected fully in interest rates in reserve markets.These measures were taken against the background of evidence of persistent strength in economicactivity and high and rising levels of resource utilization. In these circumstances, the Federal Reserveviews these actions as necessary to keep inflation contained, and thereby foster sustainable economicgrowth.In taking the discount rate action, the Board approved requests submitted by the Boards of Directorsof the Federal Reserve Banks of New York, St. L
ouis, and Kansas City. The discount rate is the
interest rate that is charged de
pository institutions when they borrow from their district FederalReserve banks.Home | Press releases
Accessibility
 | Contact UsLast update: April 20, 2007
"
6,19950201,"Release Date: February 1, 1995 For immediate releaseThe Federal Reserve Board today appr
oved an increase in the discount rate from 4 3/4 percent to 5
1/4 percent, effective immediately.
In a related move, the Federal Open Market Committ
ee agreed that this increase should be reflected
fully in interest rates in the reserve markets.
Despite tentative signs of some mo
deration in growth, economic acti
vity has continued to advance at
a substantial pace, while re
source utilization has ris
en further. In these ci
rcumstances, the Federal
Reserve views these actions as nece
ssary to keep inflation contained,
 and thereby foster sustainable
economic growth.
In taking the discount action, the Board approved 
requests submitted by the Boards of Directors of
the Federal Reserve Banks of Boston, New York, Ri
chmond, Chicago, St. Lo
uis, Kansas City andSan Francisco. The discount rate is the interest rate
 that is charged depository institutions when they
borrow from their distri
ct Federal Reserve Banks.
Home | 
News and eventsAccessibility
Last update: April 20, 2007
"
7,19950706,"Release Date: July 6, 1995
 For immediate releaseChairman Alan Greenspan announced today that the Federal Open Market Committee decided todecrease slightly the degree of pressure on bank reserve positions.As a result of the monetary tightening initiated in early 1994, inflationary pressures have recededenough to accommodate a modest adjustment in monetary conditions.Today's action will be reflected in a 25 basis point
 decline in the federal funds rate from about 6percent to about 5-3/4 percent.Home | News and events
Accessibility
Last update: April 20, 2007
"
8,19951219,"Release Date: December 19, 1995 For immediate releaseChairman Alan Greenspan announced today that the Federal Open Market Committee decided todecrease slightly the degree of pressure on reserve positions.Since the last easing of monetary policy in July, 
inflation has been somewhat more favorable thananticipated, and this result along with an associated moderation in inflation expectations warrants amodest easing in monetary conditions.This action is expected to be reflected in a decline in the federal funds rate of 25 basis points, fromabout 5 3/4 percent to about 5 1/2 percent.Home | News and events
Accessibility
Last update: April 20, 2007
"
9,19960131,"Release Date: January 31, 1996
For immediate releaseThe Federal Reserve today announced the following policy actions:The Board of Governors approved a reduction in the discount rate from 5-1/4 percentto 5 percent, effective immediately.
In a related move, the Federal Open Market Committee agreed that the reduction
would be reflected fully in interest rates in the reserve markets. This is expected toresult in a reduction in the federal funds rate of 25 basis points, from about 5-1/2percent to about 5-1/4 percent.Moderating economic expansion in recent months has reduced potential inflationarypressures going forward. With price and cost
 trends already subdued, a slight easing ofmonetary policy is consistent with contained inflation and sustainable growth.In taking the discount action, the Board approved requests submitted by the Boards ofDirectors of the Federal Reserve Banks of New York, Philadelphia, Cleveland, Atlanta,
Minneapolis, and Dallas.1996 Monetary policyLast update: March 16, 2001
"
